Rooms,Type,Price,Distance,Bathroom,Car,logLandsize,logBuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,Method_S,Method_SP,Method_VB,Regionname_Northern_Metropolitan,Regionname_South_Eastern_Metropolitan,Regionname_Southern_Metropolitan,Regionname_Victoria,Regionname_Western_Metropolitan,month,year,day_of_week
2,2,700000.0,2.5,2.0,1.0,0.0,2.103803720955957,1970.0,0,-37.811,145.0067,4019.0,0,0,1,1,0,0,0,0,11,2016,5
3,1,1350000.0,2.5,2.0,2.0,2.3324384599156054,2.2810333672477277,2005.0,0,-37.8085,144.9964,4019.0,0,0,1,1,0,0,0,0,11,2016,5
2,2,750000.0,2.5,2.0,1.0,0.0,1.9777236052888478,2009.0,0,-37.8078,144.9965,4019.0,1,0,0,1,0,0,0,0,11,2016,5
4,1,1985000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8084,144.9942,4019.0,1,0,0,1,0,0,0,0,11,2016,5
1,2,500000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,11,2016,5
2,1,1172500.0,2.5,1.0,1.0,2.292256071356476,2.103803720955957,1970.0,0,-37.8084,144.9973,4019.0,1,0,0,1,0,0,0,0,8,2016,5
1,2,441000.0,2.5,1.0,1.0,0.0,2.103803720955957,1970.0,0,-37.8016,144.9988,4019.0,0,1,0,1,0,0,0,0,5,2016,5
2,1,1310000.0,2.5,1.0,2.0,2.3783979009481375,1.9912260756924949,1890.0,0,-37.809,144.9976,4019.0,1,0,0,1,0,0,0,0,10,2016,5
3,1,1200000.0,2.5,2.0,1.0,2.0569048513364727,2.0453229787866576,1880.0,0,-37.8056,144.993,4019.0,1,0,0,1,0,0,0,0,7,2016,5
2,3,847000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,7,2016,5
3,1,1176500.0,2.5,1.0,1.0,2.143014800254095,2.0253058652647704,1890.0,0,-37.8021,144.9965,4019.0,1,0,0,1,0,0,0,0,7,2016,5
3,1,955000.0,2.5,1.0,0.0,2.2648178230095364,2.103803720955957,1970.0,0,-37.8022,144.9975,4019.0,1,0,0,1,0,0,0,0,9,2016,5
2,1,890000.0,2.5,1.0,1.0,2.1789769472931693,1.8692317197309762,1985.0,0,-37.8011,145.0004,4019.0,1,0,0,1,0,0,0,0,9,2016,5
4,1,1330000.0,2.5,2.0,2.0,2.8926510338773004,2.1335389083702174,1900.0,0,-37.8073,144.9952,4019.0,0,0,0,1,0,0,0,0,3,2017,5
3,3,900000.0,2.5,2.0,2.0,0.0,2.103803720955957,2010.0,0,-37.8093,144.9959,4019.0,1,0,0,1,0,0,0,0,3,2017,5
3,2,1090000.0,2.5,2.0,2.0,3.632558514532672,1.4471580313422192,1970.0,0,-37.8078,144.9965,4019.0,1,0,0,1,0,0,0,0,3,2017,5
2,2,500000.0,2.5,1.0,1.0,0.0,1.7853298350107671,1970.0,0,-37.8015,144.9972,4019.0,1,0,0,1,0,0,0,0,6,2016,5
2,1,1100000.0,2.5,2.0,1.0,2.0969100130080562,2.1335389083702174,2013.0,0,-37.8079,144.9977,4019.0,0,0,0,1,0,0,0,0,6,2016,5
2,1,1315000.0,2.5,1.0,0.0,2.1702617153949575,1.9344984512435677,1900.0,0,-37.808,144.994,4019.0,1,0,0,1,0,0,0,0,11,2016,5
1,2,480000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,11,2016,5
1,2,423500.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,5,2016,6
1,2,426000.0,2.5,1.0,1.0,0.0,2.103803720955957,1970.0,0,-37.8016,144.9988,4019.0,0,1,0,1,0,0,0,0,8,2016,0
3,1,1447500.0,2.5,3.0,1.0,2.2227164711475833,2.2430380486862944,2012.0,0,-37.8017,145.0001,4019.0,0,0,0,1,0,0,0,0,8,2016,0
1,2,457000.0,2.5,1.0,1.0,0.0,1.7075701760979363,1970.0,0,-37.8078,144.9965,4019.0,1,0,0,1,0,0,0,0,8,2016,0
2,1,1135000.0,2.5,2.0,2.0,1.99563519459755,2.110589710299249,1920.0,0,-37.8005,144.9952,4019.0,1,0,0,1,0,0,0,0,8,2016,0
2,1,700000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,4,2016,5
4,1,1542000.0,2.5,3.0,1.0,0.0,2.103803720955957,1970.0,0,-37.7994,144.9965,4019.0,1,0,0,1,0,0,0,0,9,2016,5
3,3,962000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.7972,144.9969,4019.0,0,1,0,1,0,0,0,0,2,2017,5
3,1,1290000.0,2.5,2.0,2.0,2.1702617153949575,1.2787536009528289,1970.0,0,-37.805,144.9943,4019.0,1,0,0,1,0,0,0,0,2,2017,5
3,1,1290000.0,2.5,1.0,1.0,2.2278867046136734,2.0969100130080562,1950.0,0,-37.8007,144.9958,4019.0,1,0,0,1,0,0,0,0,2,2017,5
1,2,470000.0,2.5,1.0,1.0,0.0,1.7075701760979363,2013.0,0,-37.8055,144.9961,4019.0,1,0,0,1,0,0,0,0,7,2016,1
2,1,1180000.0,2.5,1.0,0.0,2.2121876044039577,1.9637878273455553,1900.0,0,-37.8016,144.9956,4019.0,1,0,0,1,0,0,0,0,11,2016,6
3,1,1195000.0,2.5,2.0,1.0,2.0827853703164503,2.110589710299249,1998.0,0,-37.8022,144.9954,4019.0,0,1,0,1,0,0,0,0,11,2016,6
2,1,1012500.0,2.5,1.0,0.0,2.2624510897304293,1.919078092376074,1900.0,0,-37.8021,144.9976,4019.0,1,0,0,1,0,0,0,0,5,2016,5
2,2,970000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,0,1,0,1,0,0,0,0,5,2016,5
2,1,1030000.0,2.5,1.0,1.0,2.2380461031287955,1.9138138523837167,1930.0,0,-37.8086,144.9946,4019.0,1,0,0,1,0,0,0,0,7,2016,5
3,1,927000.0,2.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,4019.0,1,0,0,1,0,0,0,0,7,2016,5
3,3,840000.0,13.5,2.0,1.0,2.482873583608754,2.3541084391474008,2016.0,2,-37.718,144.878,3464.0,0,0,0,0,0,0,0,1,9,2016,5
3,1,730000.0,13.5,2.0,1.0,0.0,2.164352855784437,1965.0,2,-37.7203,144.8755,3464.0,0,0,1,0,0,0,0,1,12,2016,5
3,1,770000.0,13.5,2.0,1.0,0.0,2.164352855784437,1965.0,2,-37.7203,144.8755,3464.0,0,1,0,0,0,0,0,1,3,2017,5
2,1,603000.0,13.5,1.0,1.0,2.436162647040756,1.9294189257142926,1950.0,2,-37.7294,144.888,3464.0,1,0,0,0,0,0,0,1,3,2017,5
3,3,700000.0,13.5,2.0,2.0,2.380211241711606,2.130333768495006,2009.0,2,-37.7218,144.8837,3464.0,1,0,0,0,0,0,0,1,3,2017,5
3,1,600000.0,13.5,1.0,1.0,2.4638929889859074,2.0681858617461617,1980.0,2,-37.7273,144.8744,3464.0,1,0,0,0,0,0,0,1,3,2017,5
2,2,500000.0,13.5,1.0,1.0,2.2278867046136734,1.9395192526186185,2011.0,2,-37.7215,144.8864,3464.0,0,0,1,0,0,0,0,1,3,2017,5
2,3,420000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,1,0,0,0,0,1,6,2016,5
3,3,500000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,1,0,0,0,0,1,6,2016,5
5,1,1035000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,8,2016,5
4,1,960000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,8,2016,5
4,1,960000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,8,2016,5
3,1,720000.0,13.5,1.0,1.0,2.79309160017658,2.103803720955957,1970.0,2,-37.7173,144.8872,3464.0,1,0,0,0,0,0,0,1,8,2016,5
4,1,785000.0,13.5,1.0,2.0,2.776701183988411,2.1072099696478683,1970.0,2,-37.7259,144.8792,3464.0,1,0,0,0,0,0,0,1,8,2016,5
6,1,725000.0,13.5,3.0,2.0,2.989894563718773,2.271841606536499,1980.0,2,-37.7239,144.8735,3464.0,0,1,0,0,0,0,0,1,5,2016,5
2,3,450000.0,13.5,1.0,1.0,2.0453229787866576,1.9590413923210936,2015.0,2,-37.7216,144.871,3464.0,1,0,0,0,0,0,0,1,5,2016,5
2,2,515000.0,13.5,1.0,1.0,2.1522883443830563,1.8692317197309762,2013.0,2,-37.7298,144.8883,3464.0,1,0,0,0,0,0,0,1,11,2016,0
3,1,680000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,1,0,0,0,0,1,10,2016,5
2,2,530000.0,13.5,1.0,1.0,2.0827853703164503,1.9777236052888478,2012.0,2,-37.7234,144.8792,3464.0,1,0,0,0,0,0,0,1,9,2016,5
3,1,895000.0,13.5,1.0,6.0,3.0269416279590295,2.1271047983648077,1975.0,2,-37.7249,144.8728,3464.0,0,0,0,0,0,0,0,1,9,2016,5
3,2,600000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,1,0,0,0,0,1,9,2016,5
3,1,805000.0,13.5,1.0,1.0,0.0,2.0253058652647704,1950.0,2,-37.7217,144.8783,3464.0,1,0,0,0,0,0,0,1,12,2016,5
3,3,760000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,0,0,0,0,0,1,12,2016,5
3,2,752000.0,13.5,1.0,1.0,2.424881636631067,2.1172712956557644,1993.0,2,-37.7302,144.8855,3464.0,1,0,0,0,0,0,0,1,2,2017,5
3,2,580000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,1,0,0,0,0,1,11,2016,5
3,1,725000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,0,0,0,0,0,1,11,2016,5
4,1,758000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,8,2016,5
2,2,440000.0,13.5,1.0,1.0,2.285557309007774,2.103803720955957,1970.0,2,-37.7177,144.8787,3464.0,1,0,0,0,0,0,0,1,8,2016,5
3,1,970000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,5,2016,5
5,1,755000.0,13.5,2.0,2.0,2.775974331129369,2.103803720955957,1970.0,2,-37.7248,144.8699,3464.0,0,0,0,0,0,0,0,1,5,2016,5
4,1,985000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,10,2016,5
3,3,700000.0,13.5,2.0,2.0,2.220108088040055,2.1271047983648077,2009.0,2,-37.727,144.887,3464.0,0,0,0,0,0,0,0,1,10,2016,5
2,2,509500.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,1,0,0,0,0,0,1,10,2016,5
3,1,830000.0,13.5,1.0,2.0,2.9876662649262746,2.0569048513364727,1960.0,2,-37.7186,144.876,3464.0,1,0,0,0,0,0,0,1,4,2016,5
2,2,462500.0,13.5,1.0,1.0,2.2174839442139063,2.103803720955957,2003.0,2,-37.7218,144.8863,3464.0,1,0,0,0,0,0,0,1,7,2016,5
3,1,670000.0,13.5,2.0,2.0,2.8182258936139557,2.103803720955957,1970.0,2,-37.7269,144.8742,3464.0,0,1,0,0,0,0,0,1,7,2016,5
2,1,675000.0,13.5,1.0,1.0,2.787460474518415,2.0043213737826426,1975.0,2,-37.7187,144.8765,3464.0,1,0,0,0,0,0,0,1,7,2016,5
3,1,1042000.0,13.5,2.0,5.0,2.787460474518415,2.2430380486862944,1950.0,2,-37.7173,144.8796,3464.0,1,0,0,0,0,0,0,1,7,2016,5
3,1,910000.0,13.5,1.0,1.0,2.8898617212581885,2.103803720955957,1970.0,2,-37.7231,144.8835,3464.0,1,0,0,0,0,0,0,1,9,2016,5
4,1,773000.0,13.5,3.0,4.0,2.7259116322950483,2.4913616938342726,1980.0,2,-37.7263,144.8679,3464.0,1,0,0,0,0,0,0,1,9,2016,5
3,1,715000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,9,2016,5
3,1,810000.0,13.5,3.0,2.0,2.7450747915820575,2.285557309007774,1980.0,2,-37.7285,144.8694,3464.0,0,0,0,0,0,0,0,1,3,2017,5
3,1,715000.0,13.5,2.0,2.0,2.6263403673750423,2.103803720955957,1995.0,2,-37.7164,144.8792,3464.0,1,0,0,0,0,0,0,1,3,2017,5
3,1,790000.0,13.5,1.0,3.0,2.788875115775417,2.103803720955957,1970.0,2,-37.7194,144.8827,3464.0,1,0,0,0,0,0,0,1,3,2017,5
2,3,460000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,1,0,0,0,0,1,6,2016,5
3,3,540000.0,13.5,2.0,1.0,2.2095150145426308,2.0086001717619175,2010.0,2,-37.7231,144.8802,3464.0,0,1,0,0,0,0,0,1,6,2016,5
3,3,825000.0,13.5,2.0,1.0,2.4683473304121573,2.012837224705172,1960.0,2,-37.72,144.8776,3464.0,0,1,0,0,0,0,0,1,11,2016,5
3,1,685000.0,13.5,1.0,1.0,2.7634279935629373,2.0569048513364727,1975.0,2,-37.7226,144.8733,3464.0,1,0,0,0,0,0,0,1,5,2016,6
3,2,445000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,5,2016,6
3,1,805000.0,13.5,1.0,1.0,2.795184589682424,2.103803720955957,1970.0,2,-37.7184,144.882,3464.0,1,0,0,0,0,0,0,1,8,2016,0
2,2,510000.0,13.5,1.0,1.0,2.1522883443830563,1.8864907251724818,1970.0,2,-37.7202,144.8797,3464.0,1,0,0,0,0,0,0,1,8,2016,0
3,1,612000.0,13.5,2.0,1.0,2.3283796034387376,2.103803720955957,1970.0,2,-37.7181,144.8824,3464.0,1,0,0,0,0,0,0,1,8,2016,0
3,1,662000.0,13.5,1.0,2.0,2.787460474518415,2.103803720955957,1970.0,2,-37.7169,144.8815,3464.0,1,0,0,0,0,0,0,1,4,2016,5
4,1,978000.0,13.5,3.0,2.0,2.7267272090265724,2.103803720955957,1970.0,2,-37.7263,144.869,3464.0,1,0,0,0,0,0,0,1,9,2016,5
3,1,720000.0,13.5,1.0,1.0,2.767897616018091,2.103803720955957,1970.0,2,-37.72,144.878,3464.0,0,0,0,0,0,0,0,1,2,2017,5
2,2,474000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,0,0,0,0,0,1,7,2016,1
2,3,490000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,1,0,0,0,0,0,1,7,2016,1
3,1,405000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,6,2016,0
3,3,715000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,11,2016,6
3,2,671500.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,11,2016,6
4,1,765000.0,13.5,1.0,2.0,2.7075701760979363,2.103803720955957,1970.0,2,-37.7261,144.8785,3464.0,1,0,0,0,0,0,0,1,11,2016,6
4,1,900000.0,13.5,2.0,3.0,2.798650645445269,2.167317334748176,1975.0,2,-37.7256,144.8739,3464.0,1,0,0,0,0,0,0,1,11,2016,6
3,2,820000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,1,0,0,0,0,0,0,1,8,2016,6
3,2,650000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,0,0,0,0,0,0,1,7,2016,5
3,3,552000.0,13.5,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3464.0,0,1,0,0,0,0,0,1,7,2016,5
2,1,1275000.0,3.3,1.0,0.0,2.0827853703164503,1.919078092376074,1900.0,3,-37.8459,144.9555,3280.0,1,0,0,0,0,1,0,0,9,2016,5
2,1,1455000.0,3.3,1.0,0.0,2.2041199826559246,2.103803720955957,1970.0,3,-37.845,144.9538,3280.0,1,0,0,0,0,1,0,0,9,2016,5
3,1,2850000.0,3.3,2.0,0.0,2.326335860928751,2.298853076409707,1890.0,3,-37.8481,144.9499,3280.0,0,0,0,0,0,1,0,0,3,2017,5
3,1,1850000.0,3.3,2.0,0.0,2.110589710299249,2.1271047983648077,1890.0,3,-37.8452,144.9488,3280.0,1,0,0,0,0,1,0,0,3,2017,5
2,1,1436000.0,3.3,1.0,0.0,2.1172712956557644,1.9138138523837167,1900.0,3,-37.8431,144.9565,3280.0,1,0,0,0,0,1,0,0,3,2017,5
2,1,1110000.0,3.3,1.0,0.0,2.1702617153949575,2.103803720955957,1900.0,3,-37.8444,144.9484,3280.0,1,0,0,0,0,1,0,0,8,2016,5
2,1,1550000.0,3.3,1.0,1.0,2.225309281725863,2.103803720955957,1970.0,3,-37.8405,144.9521,3280.0,1,0,0,0,0,1,0,0,5,2016,5
4,1,2300000.0,3.3,2.0,1.0,2.187520720836463,2.2576785748691846,1880.0,3,-37.8447,144.9523,3280.0,1,0,0,0,0,1,0,0,5,2016,5
3,3,1550000.0,3.3,2.0,2.0,2.8567288903828825,2.103803720955957,1970.0,3,-37.8443,144.9598,3280.0,0,0,1,0,0,1,0,0,11,2016,0
3,1,1800000.0,3.3,2.0,1.0,2.123851640967086,2.2041199826559246,1996.0,3,-37.8415,144.952,3280.0,0,0,1,0,0,1,0,0,11,2016,0
3,1,2485000.0,3.3,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3280.0,1,0,0,0,0,1,0,0,10,2016,5
2,1,2120000.0,3.3,1.0,1.0,2.3010299956639813,2.03342375548695,1900.0,3,-37.8422,144.9554,3280.0,1,0,0,0,0,1,0,0,9,2016,5
3,1,1800000.0,3.3,1.0,1.0,2.404833716619938,2.103803720955957,1970.0,3,-37.8443,144.9579,3280.0,0,0,1,0,0,1,0,0,9,2016,5
3,1,1800000.0,3.3,2.0,1.0,1.9590413923210936,2.089905111439398,1900.0,3,-37.8421,144.9571,3280.0,1,0,0,0,0,1,0,0,9,2016,5
2,1,1810000.0,3.3,1.0,0.0,2.3820170425748683,2.103803720955957,1970.0,3,-37.8379,144.9539,3280.0,0,0,0,0,0,1,0,0,12,2016,5
3,1,2615000.0,3.3,2.0,1.0,2.250420002308894,2.2600713879850747,1880.0,3,-37.8415,144.9585,3280.0,1,0,0,0,0,1,0,0,12,2016,5
5,1,2100000.0,3.3,2.0,1.0,2.376576957056512,2.103803720955957,1970.0,3,-37.8436,144.9557,3280.0,1,0,0,0,0,1,0,0,12,2016,5
3,1,1300000.0,3.3,1.0,0.0,2.113943352306837,2.103803720955957,1970.0,3,-37.8422,144.94899999999998,3280.0,1,0,0,0,0,1,0,0,12,2016,5
3,1,1370000.0,3.3,2.0,2.0,0.0,1.9344984512435677,2000.0,3,-37.8451,144.9511,3280.0,1,0,0,0,0,1,0,0,6,2016,6
2,1,1000000.0,3.3,1.0,0.0,2.4608978427565478,2.103803720955957,1970.0,3,-37.8407,144.9523,3280.0,1,0,0,0,0,1,0,0,11,2016,5
3,1,2575000.0,3.3,2.0,1.0,2.359835482339888,2.103803720955957,1970.0,3,-37.8445,144.9501,3280.0,1,0,0,0,0,1,0,0,10,2016,5
2,1,1322500.0,3.3,1.0,0.0,2.1760912590556813,1.99563519459755,1890.0,3,-37.8443,144.9481,3280.0,1,0,0,0,0,1,0,0,10,2016,5
2,1,1562500.0,3.3,1.0,0.0,2.1522883443830563,1.9242792860618816,1890.0,3,-37.8424,144.9562,3280.0,1,0,0,0,0,1,0,0,10,2016,5
3,1,2000000.0,3.3,2.0,1.0,2.326335860928751,2.1702617153949575,1900.0,3,-37.847,144.9575,3280.0,0,0,1,0,0,1,0,0,4,2016,5
3,1,1900000.0,3.3,1.0,0.0,2.322219294733919,2.103803720955957,1900.0,3,-37.8468,144.9546,3280.0,1,0,0,0,0,1,0,0,3,2017,5
3,1,3010000.0,3.3,2.0,0.0,2.1702617153949575,2.167317334748176,1890.0,3,-37.8473,144.9551,3280.0,1,0,0,0,0,1,0,0,3,2017,5
4,1,2800000.0,3.3,3.0,1.0,2.515873843711679,2.406540180433955,1910.0,3,-37.8467,144.9475,3280.0,0,0,1,0,0,1,0,0,6,2016,5
2,2,647000.0,3.3,1.0,1.0,0.0,2.103803720955957,1970.0,3,-37.846,144.9542,3280.0,1,0,0,0,0,1,0,0,5,2016,6
3,1,2100000.0,3.3,1.0,1.0,2.0827853703164503,2.093421685162235,1900.0,3,-37.8427,144.9546,3280.0,0,1,0,0,0,1,0,0,4,2016,5
3,1,2000000.0,3.3,1.0,1.0,2.3783979009481375,2.12057393120585,1890.0,3,-37.8461,144.9528,3280.0,0,0,0,0,0,1,0,0,9,2016,5
1,2,442500.0,3.3,1.0,0.0,0.0,1.5440680443502757,1970.0,3,-37.8421,144.9517,3280.0,1,0,0,0,0,1,0,0,2,2017,5
4,1,4735000.0,3.3,2.0,1.0,2.519827993775719,2.3180633349627615,1910.0,3,-37.8477,144.9558,3280.0,1,0,0,0,0,1,0,0,2,2017,5
2,1,1340000.0,3.3,1.0,0.0,2.1367205671564067,2.103803720955957,1970.0,3,-37.846,144.9517,3280.0,1,0,0,0,0,1,0,0,2,2017,5
3,1,1801000.0,3.3,1.0,1.0,2.307496037913213,2.103803720955957,1970.0,3,-37.8429,144.9493,3280.0,1,0,0,0,0,1,0,0,2,2017,5
3,1,1532000.0,3.3,3.0,1.0,0.0,2.103803720955957,1970.0,3,-37.8415,144.9585,3280.0,1,0,0,0,0,1,0,0,7,2016,1
3,1,3755000.0,3.3,2.0,2.0,2.513217600067939,2.103803720955957,1970.0,3,-37.8413,144.95,3280.0,1,0,0,0,0,1,0,0,7,2016,1
4,1,2140000.0,3.3,2.0,1.0,2.2648178230095364,2.164352855784437,1880.0,3,-37.8434,144.9495,3280.0,1,0,0,0,0,1,0,0,6,2016,0
2,2,1810000.0,3.3,1.0,2.0,2.6444385894678386,2.103803720955957,1970.0,1,-37.8036,145.0009,3280.0,0,0,0,0,0,1,0,0,6,2016,0
2,1,1750000.0,3.3,1.0,1.0,2.2121876044039577,2.103803720955957,1970.0,3,-37.8416,144.9488,3280.0,1,0,0,0,0,1,0,0,11,2016,6
2,1,980000.0,3.3,1.0,0.0,1.9030899869919435,1.8388490907372552,1890.0,3,-37.8387,144.9519,3280.0,1,0,0,0,0,1,0,0,5,2016,5
3,1,2030000.0,3.3,2.0,0.0,2.184691430817599,2.103803720955957,1970.0,3,-37.8488,144.9551,3280.0,1,0,0,0,0,1,0,0,8,2016,6
3,1,1740000.0,3.3,2.0,2.0,2.1702617153949575,2.130333768495006,1890.0,3,-37.8448,144.9453,3280.0,0,0,0,0,0,1,0,0,8,2016,6
3,1,2800000.0,3.3,3.0,1.0,0.0,2.103803720955957,1970.0,3,-37.8399,144.9577,3280.0,0,0,1,0,0,1,0,0,7,2016,5
1,1,985000.0,3.3,1.0,0.0,1.9138138523837167,1.7403626894942439,1900.0,3,-37.8411,144.9497,3280.0,1,0,0,0,0,1,0,0,7,2016,5
4,1,2000000.0,6.4,2.0,4.0,2.931457870689005,2.4216039268698313,1930.0,4,-37.7707,145.0318,2211.0,1,0,0,1,0,0,0,0,9,2016,5
