age,education,housing,contact_cellular,month,day_of_week,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,job_blue_collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self_employed,job_services,job_student,job_technician,job_unemployed,marital_married,marital_single,loan_unknown,loan_yes
32.0,4,1,0,5,5,2.3979400086720375,0.47712125471966244,0,0,-0.1,93.444,-41.8,4.857,5191.0,no,False,False,False,False,False,False,True,False,False,False,False,True,False,True
51.0,6,0,0,6,3,1.2041199826559248,0.47712125471966244,0,0,1.4,94.465,-41.8,4.962,5228.1,no,True,False,False,False,False,False,False,False,False,False,False,False,False,False
54.0,6,0,1,12,3,2.4608978427565478,0.9542425094393249,1,1,-3.0,92.713,-33.0,0.715,5023.5,yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24.0,6,0,1,6,2,2.4216039268698313,0.47712125471966244,0,1,-2.9,92.963,-40.8,1.262,5076.2,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
52.0,1,1,1,7,5,3.3044905277734875,0.47712125471966244,0,0,1.4,93.918,-42.7,4.962,5228.1,yes,True,False,False,False,False,False,False,False,False,False,True,False,False,False
44.0,6,0,1,11,5,2.7283537820212285,0.6020599913279624,0,0,-0.1,93.2,-42.0,4.021,5195.8,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False
59.0,6,0,0,5,1,2.663700925389648,0.8450980400142568,0,0,1.1,93.994,-36.4,4.857,5191.0,yes,False,False,False,True,False,False,False,False,False,False,True,False,False,False
31.0,2,0,1,8,4,2.1367205671564067,0.47712125471966244,0,0,1.4,93.444,-36.1,4.964,5228.1,no,False,False,True,False,False,False,False,False,False,False,True,False,False,False
51.0,4,1,1,4,4,2.534026106056135,0.47712125471966244,0,0,-1.8,93.075,-47.1,1.365,5099.1,yes,False,False,False,False,False,False,False,False,True,False,True,False,False,False
29.0,3,1,0,11,5,2.6570558528571038,0.47712125471966244,0,0,-0.1,93.2,-42.0,4.474,5195.8,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20.0,6,0,1,5,2,2.307496037913213,0.6020599913279624,1,1,-1.8,93.876,-40.0,0.697,5008.7,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
28.0,6,0,1,8,4,2.8457180179666586,0.7781512503836436,0,1,-2.9,92.201,-31.4,0.829,5076.2,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
33.0,6,0,1,3,1,2.6314437690131722,0.47712125471966244,1,1,-1.8,93.369,-34.8,0.646,5008.7,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
29.0,6,0,1,11,4,2.130333768495006,0.6020599913279624,1,1,-3.4,92.649,-30.1,0.714,5017.5,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
40.0,3,0,0,7,2,3.055378331375,0.6020599913279624,0,0,1.4,93.918,-42.7,4.955,5228.1,yes,True,False,False,False,False,False,False,False,False,False,True,False,False,True
32.0,6,1,1,7,1,2.322219294733919,0.6020599913279624,0,0,1.4,93.918,-42.7,4.962,5228.1,no,False,False,False,False,False,False,False,False,False,False,False,True,True,False
29.0,5,0,1,8,5,2.1172712956557644,0.47712125471966244,0,0,-2.9,92.201,-31.4,0.881,5076.2,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
71.0,1,1,1,11,2,2.287801729930226,0.6020599913279624,0,0,-3.4,92.649,-30.1,0.715,5017.5,yes,False,False,True,False,False,False,False,False,False,False,True,False,False,False
48.0,3,1,1,7,4,2.089905111439398,0.47712125471966244,0,0,1.4,93.918,-42.7,4.963,5228.1,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False
28.0,5,0,1,6,3,2.298853076409707,0.47712125471966244,0,0,-2.9,92.963,-40.8,1.26,5076.2,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
33.0,5,1,1,5,5,2.639486489268586,0.6020599913279624,0,1,-1.8,92.893,-46.2,1.313,5099.1,no,True,False,False,False,False,False,False,False,False,False,False,True,False,False
31.0,5,1,1,8,3,1.9030899869919435,0.6989700043360189,0,0,1.4,93.444,-36.1,4.964,5228.1,no,False,False,False,False,False,False,False,False,True,False,False,True,False,True
30.0,6,1,0,5,5,2.3783979009481375,0.6989700043360189,0,0,1.1,93.994,-36.4,4.864,5191.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
29.0,6,1,0,6,5,1.9242792860618816,0.6989700043360189,0,0,1.4,94.465,-41.8,4.959,5228.1,no,False,False,False,False,False,False,False,False,False,False,True,False,True,False
45.0,1,1,1,5,4,1.8325089127062364,0.6989700043360189,0,0,-1.8,92.893,-46.2,1.327,5099.1,no,True,False,False,False,False,False,False,False,False,False,True,False,True,False
51.0,6,0,1,8,4,2.8095597146352675,0.6020599913279624,0,0,1.4,93.444,-36.1,4.963,5228.1,yes,False,False,False,True,False,False,False,False,False,False,True,False,False,False
56.0,6,0,0,6,1,2.403120521175818,0.7781512503836436,0,0,1.4,94.465,-41.8,4.865,5228.1,no,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40.0,6,1,1,5,2,2.662757831681574,0.47712125471966244,0,0,-1.8,92.893,-46.2,1.344,5099.1,no,False,False,False,True,False,False,False,False,False,False,True,False,False,False
30.0,5,1,0,6,2,2.361727836017593,0.6020599913279624,0,0,1.4,94.465,-41.8,4.864,5228.1,no,False,False,False,False,False,False,False,False,False,False,False,True,False,False
28.0,5,0,1,5,2,2.3364597338485296,0.47712125471966244,0,1,-1.8,92.893,-46.2,1.291,5099.1,no,False,False,False,False,False,False,False,False,False,True,True,False,False,False
31.0,6,1,1,8,5,2.0755469613925306,0.6020599913279624,0,0,-2.9,92.201,-31.4,0.825,5076.2,no,False,False,False,False,False,False,False,False,False,False,False,True,False,False
28.0,6,1,1,6,4,3.065206128054312,0.47712125471966244,1,1,-2.9,92.963,-40.8,1.26,5076.2,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False
31.0,6,0,1,8,4,1.7558748556724915,0.6020599913279624,0,0,1.4,93.444,-36.1,4.964,5228.1,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
65.0,6,0,1,11,4,2.404833716619938,0.47712125471966244,0,1,-3.4,92.649,-30.1,0.714,5017.5,yes,False,False,False,False,True,False,False,False,False,False,False,True,False,False
36.0,3,1,0,6,4,2.8825245379548803,0.6989700043360189,0,0,1.4,94.465,-41.8,4.955,5228.1,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,True
53.0,4,1,1,4,4,2.4800069429571505,0.47712125471966244,0,0,-1.8,93.075,-47.1,1.365,5099.1,yes,False,False,False,False,False,False,False,False,True,False,True,False,False,False
30.0,5,1,0,6,2,2.7895807121644256,0.47712125471966244,0,0,1.4,94.465,-41.8,4.864,5228.1,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34.0,4,1,1,5,1,2.7795964912578244,0.6020599913279624,0,1,-1.8,92.893,-46.2,1.264,5099.1,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False
35.0,3,1,1,5,5,2.8305886686851442,0.6989700043360189,0,0,-1.8,92.893,-46.2,1.25,5099.1,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,False
39.0,1,0,1,10,5,2.45178643552429,0.47712125471966244,0,0,-1.1,94.601,-49.5,0.972,4963.6,no,False,False,True,False,False,False,False,False,False,False,True,False,False,False
59.0,6,1,1,9,1,2.450249108319361,0.6989700043360189,1,1,-3.4,92.379,-29.8,0.797,5017.5,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,True
29.0,2,0,1,5,4,2.012837224705172,0.47712125471966244,0,0,-1.8,92.893,-46.2,1.327,5099.1,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False
35.0,5,1,1,7,5,2.9003671286564705,0.47712125471966244,0,0,1.4,93.918,-42.7,4.963,5228.1,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
28.0,6,0,0,6,4,2.81424759573192,0.8450980400142568,0,0,1.4,94.465,-41.8,4.958,5228.1,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False
43.0,3,0,1,7,5,1.863322860120456,0.6989700043360189,0,0,1.4,93.918,-42.7,4.962,5228.1,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
29.0,6,1,1,8,3,2.9425041061680806,0.6020599913279624,0,0,1.4,93.444,-36.1,4.964,5228.1,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
37.0,3,1,1,11,2,2.305351369446624,0.47712125471966244,0,1,-0.1,93.2,-42.0,4.153,5195.8,no,False,False,False,False,True,False,False,False,False,False,False,False,False,False
30.0,6,1,0,4,3,2.230448921378274,1.0,0,0,-1.8,93.075,-47.1,1.372,5099.1,no,False,False,False,False,False,False,False,False,True,False,False,True,False,False
48.0,4,1,1,4,4,2.4313637641589874,0.47712125471966244,0,1,-1.8,93.075,-47.1,1.365,5099.1,yes,False,False,False,False,False,False,False,False,True,False,True,False,False,True
36.0,1,1,1,5,1,3.011993114659257,0.6020599913279624,0,0,-1.8,92.893,-46.2,1.244,5099.1,yes,True,False,False,False,False,False,False,False,False,False,True,False,False,False
30.0,6,1,1,11,4,2.9334872878487053,0.6989700043360189,0,0,-0.1,93.2,-42.0,4.076,5195.8,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
26.0,6,0,1,5,4,2.8549130223078554,0.47712125471966244,0,0,-1.8,92.893,-46.2,1.266,5099.1,yes,False,False,False,True,False,False,False,False,False,False,False,True,False,False
31.0,5,1,1,10,5,2.8555191556678,0.6989700043360189,0,0,-1.1,94.601,-49.5,1.029,4963.6,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
34.0,6,1,1,5,1,2.012837224705172,0.6989700043360189,0,0,-1.8,92.893,-46.2,1.299,5099.1,no,False,False,False,False,False,True,False,False,False,False,False,True,False,False
33.0,6,0,1,8,3,2.530199698203082,0.47712125471966244,0,0,-2.9,92.201,-31.4,0.854,5076.2,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
29.0,6,1,1,6,4,2.6532125137753435,0.47712125471966244,0,0,-2.9,92.963,-40.8,1.26,5076.2,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,True
33.0,5,0,1,4,5,2.6085260335771943,0.6020599913279624,0,0,-1.8,93.075,-47.1,1.405,5099.1,no,False,False,False,False,False,False,False,False,False,False,False,True,False,False
59.0,5,1,1,8,3,2.444044795918076,0.47712125471966244,0,0,-2.9,92.201,-31.4,0.884,5076.2,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42.0,6,0,1,4,5,2.979092900638326,0.47712125471966244,0,1,-1.8,93.075,-47.1,1.405,5099.1,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
28.0,3,1,1,5,2,2.8048206787211623,0.6989700043360189,0,0,-1.8,92.893,-46.2,1.291,5099.1,yes,True,False,False,False,False,False,False,False,False,False,False,True,False,True
33.0,2,1,1,5,3,2.8369567370595505,0.6020599913279624,0,0,-1.8,92.893,-46.2,1.334,5099.1,yes,True,False,False,False,False,False,False,False,False,False,True,False,False,True
38.0,3,1,1,12,3,2.4983105537896004,0.47712125471966244,1,1,-3.0,92.713,-33.0,0.715,5023.5,yes,False,False,False,False,False,False,True,False,False,False,True,False,False,False
30.0,6,0,1,4,3,3.016615547557177,0.6020599913279624,0,0,-1.8,93.075,-47.1,1.415,5099.1,yes,False,False,False,False,False,False,False,False,False,False,True,False,False,False
54.0,6,1,1,8,5,2.513217600067939,0.47712125471966244,1,1,-2.9,92.201,-31.4,0.881,5076.2,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
47.0,5,1,0,6,1,2.481442628502305,0.47712125471966244,0,0,-1.7,94.055,-39.8,0.711,4991.6,yes,False,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,5,1,1,7,1,2.0755469613925306,0.47712125471966244,0,0,1.4,93.918,-42.7,4.96,5228.1,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34.0,3,0,0,5,4,2.0453229787866576,0.47712125471966244,0,0,1.1,93.994,-36.4,4.86,5191.0,no,True,False,False,False,False,False,False,False,False,False,False,True,False,True
37.0,6,0,0,6,2,2.285557309007774,0.7781512503836436,0,0,1.4,94.465,-41.8,4.864,5228.1,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34.0,6,1,1,3,2,2.4712917110589387,0.47712125471966244,0,0,-1.8,93.369,-34.8,0.652,5008.7,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,True
56.0,3,1,0,8,3,1.6232492903979006,0.9542425094393249,0,0,1.4,93.444,-36.1,4.964,5228.1,no,False,False,False,False,False,True,False,False,False,False,True,False,False,False
39.0,4,1,0,5,1,2.7641761323903307,0.6020599913279624,0,0,1.1,93.994,-36.4,4.857,5191.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
30.0,1,1,0,5,4,2.5211380837040362,0.7781512503836436,0,0,1.1,93.994,-36.4,4.86,5191.0,no,True,False,False,False,False,False,False,False,False,False,False,True,False,True
27.0,6,1,1,9,4,2.6074550232146687,0.47712125471966244,1,1,-1.1,94.199,-37.5,0.879,4963.6,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False
56.0,6,1,1,11,2,2.988112840268352,0.6020599913279624,0,0,-0.1,93.2,-42.0,4.153,5195.8,no,False,False,False,False,True,False,False,False,False,False,False,False,False,False
32.0,5,0,1,5,3,2.3961993470957363,0.6020599913279624,0,0,-1.8,92.893,-46.2,1.281,5099.1,no,False,False,False,False,False,False,True,False,False,False,False,True,False,False
28.0,3,1,0,10,5,2.271841606536499,0.47712125471966244,0,1,-3.4,92.431,-26.9,0.739,5017.5,yes,False,False,False,False,False,False,True,False,False,False,True,False,False,False
29.0,5,1,1,7,3,2.2648178230095364,0.47712125471966244,0,0,1.4,93.918,-42.7,4.962,5228.1,no,False,False,False,False,False,False,False,False,False,False,False,True,True,False
47.0,6,0,0,5,3,2.741151598851785,0.6989700043360189,0,0,1.1,93.994,-36.4,4.856,5191.0,no,False,False,False,True,False,False,False,False,False,False,True,False,False,False
40.0,3,1,1,5,4,2.3710678622717363,0.47712125471966244,1,1,-1.8,93.876,-40.0,0.683,5008.7,yes,False,False,False,False,False,False,False,False,False,False,False,True,False,False
36.0,1,0,0,6,5,1.9030899869919435,0.47712125471966244,0,0,1.4,94.465,-41.8,4.959,5228.1,no,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27.0,6,1,1,4,4,1.5563025007672873,0.47712125471966244,0,0,-1.8,93.075,-47.1,1.365,5099.1,no,False,False,False,False,False,False,False,True,False,False,False,True,False,False
69.0,1,1,1,10,4,2.0969100130080562,0.47712125471966244,0,0,-3.4,92.431,-26.9,0.722,5017.5,yes,False,False,False,False,True,False,False,False,False,False,True,False,False,False
39.0,6,1,1,5,1,2.787460474518415,0.47712125471966244,0,0,-1.8,92.893,-46.2,1.244,5099.1,yes,False,False,False,False,False,False,False,False,True,False,False,True,False,False
22.0,5,0,1,9,3,2.568201724066995,0.6989700043360189,1,1,-1.1,94.199,-37.5,0.886,4963.6,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
40.0,3,0,0,5,1,2.2278867046136734,0.47712125471966244,0,0,1.1,93.994,-36.4,4.857,5191.0,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
25.0,4,1,1,6,2,2.741939077729199,0.7781512503836436,0,1,-2.9,92.963,-40.8,1.252,5076.2,yes,False,False,False,False,False,False,False,False,True,False,True,False,False,False
38.0,3,0,1,7,5,2.8836614351536176,0.6020599913279624,0,0,1.4,93.918,-42.7,4.963,5228.1,yes,True,False,False,False,False,False,False,False,False,False,False,False,False,False
40.0,4,1,1,4,2,2.5646660642520893,0.47712125471966244,0,0,-1.8,93.075,-47.1,1.453,5099.1,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
37.0,5,0,1,11,5,2.803457115648414,0.47712125471966244,0,1,-0.1,93.2,-42.0,4.021,5195.8,yes,False,False,False,False,False,False,False,False,True,False,False,False,False,False
44.0,4,0,1,5,1,2.123851640967086,0.6989700043360189,0,0,-1.8,92.893,-46.2,1.299,5099.1,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
57.0,1,1,0,4,2,3.1300119496719043,0.7781512503836436,0,0,-1.8,93.075,-47.1,1.405,5099.1,yes,False,False,False,False,True,False,False,False,False,False,True,False,False,True
34.0,6,1,1,5,2,2.2278867046136734,0.6020599913279624,0,0,-1.8,92.893,-46.2,1.344,5099.1,no,False,True,False,False,False,False,False,False,False,False,False,True,False,False
24.0,5,1,1,5,2,2.187520720836463,0.6020599913279624,1,1,-1.8,93.876,-40.0,0.668,5008.7,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,False
41.0,5,0,0,5,5,2.552668216112193,0.6020599913279624,0,0,1.1,93.994,-36.4,4.859,5191.0,no,False,False,False,False,False,False,False,False,False,False,True,False,False,False
39.0,4,1,1,11,2,1.7708520116421442,0.47712125471966244,0,0,-0.1,93.2,-42.0,4.153,5195.8,no,False,False,False,False,False,False,False,False,True,False,False,True,False,False
31.0,6,1,1,6,2,2.48572142648158,0.47712125471966244,0,0,-2.9,92.963,-40.8,1.262,5076.2,yes,False,False,False,True,False,False,False,False,False,False,True,False,False,False
26.0,6,0,0,5,5,2.444044795918076,0.8450980400142568,0,0,1.1,93.994,-36.4,4.859,5191.0,no,False,False,False,False,False,False,False,True,False,False,False,True,False,False
27.0,6,0,1,11,1,2.0755469613925306,0.47712125471966244,0,0,-3.4,92.649,-30.1,0.715,5017.5,yes,False,False,False,False,False,False,False,True,False,False,False,True,False,True
42.0,6,0,0,5,2,3.2247919564926817,0.47712125471966244,0,0,1.1,93.994,-36.4,4.857,5191.0,yes,False,False,False,True,False,False,False,False,False,False,True,False,False,False
31.0,6,0,0,6,5,2.788875115775417,0.6020599913279624,0,0,-2.9,92.963,-40.8,1.268,5076.2,no,False,False,False,True,False,False,False,False,False,False,True,False,False,False
47.0,5,1,0,6,1,2.3521825181113627,0.6989700043360189,0,0,1.4,94.465,-41.8,4.961,5228.1,no,True,False,False,False,False,False,False,False,False,False,True,False,False,False
53.0,1,1,1,4,1,2.7664128471123997,0.6020599913279624,0,1,-1.8,93.075,-47.1,1.466,5099.1,yes,True,False,False,False,False,False,False,False,False,False,True,False,False,False
51.0,4,0,1,11,5,2.450249108319361,0.6020599913279624,0,1,-0.1,93.2,-42.0,4.021,5195.8,no,False,False,False,False,False,False,False,False,True,False,True,False,False,False
39.0,6,1,1,7,3,1.806179973983887,0.6020599913279624,0,0,1.4,93.918,-42.7,4.963,5228.1,no,False,False,False,False,False,False,False,False,True,False,True,False,False,True
59.0,6,1,1,8,4,1.9822712330395684,0.47712125471966244,0,0,1.4,93.444,-36.1,4.964,5228.1,no,False,False,False,False,False,False,False,False,True,False,False,True,False,False
47.0,4,1,0,6,1,2.530199698203082,0.6020599913279624,0,0,1.4,94.465,-41.8,4.865,5228.1,no,False,False,False,False,False,True,False,False,False,False,True,False,False,False
46.0,5,0,1,4,1,1.7323937598229686,0.47712125471966244,0,1,-1.8,93.075,-47.1,1.405,5099.1,no,False,False,False,False,False,False,True,False,False,False,True,False,False,False
52.0,2,0,1,7,2,2.3096301674258988,0.47712125471966244,0,0,1.4,93.918,-42.7,4.962,5228.1,no,False,False,False,False,True,False,False,False,False,False,True,False,False,False
25.0,4,1,0,6,1,1.9912260756924949,0.47712125471966244,0,0,1.4,94.465,-41.8,4.961,5228.1,no,False,False,False,False,False,False,False,False,True,False,False,True,False,False
51.0,1,1,1,5,5,2.4149733479708178,0.6989700043360189,0,0,-1.8,92.893,-46.2,1.25,5099.1,no,True,False,False,False,False,False,False,False,False,False,False,True,False,False
35.0,4,1,1,4,4,1.9030899869919435,0.47712125471966244,0,0,-1.8,93.075,-47.1,1.41,5099.1,no,False,False,False,False,False,False,False,False,False,True,True,False,False,False
68.0,1,1,1,5,5,2.3443922736851106,0.47712125471966244,1,1,-1.8,93.876,-40.0,0.684,5008.7,yes,False,False,False,False,True,False,False,False,False,False,True,False,False,True
25.0,5,0,1,7,2,2.5185139398778875,0.7781512503836436,0,0,1.4,93.918,-42.7,4.962,5228.1,no,False,False,False,False,False,False,True,False,False,False,True,False,False,False
60.0,4,0,0,9,5,2.791690649020118,0.47712125471966244,0,1,-1.1,94.199,-37.5,0.879,4963.6,no,False,False,False,False,True,False,False,False,False,False,True,False,False,False
