age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
56.0;blue collar;married;basic.4y;unknown;no;no;cellular;jul;tue;1545.0;1;999;0;;1.4;93.918;-42.7;4.961;5228.1;yes
34.0;self-employed;single;university.degree;no;no;no;cellular;jul;thu;967.0;3;999;0;;-1.7;94.215;-40.3;0.81;4991.6;yes
20.0;student;single;;no;yes;no;telephone;may;wed;510.0;4;999;0;;-1.8;93.876;-40.0;0.672;5008.7;yes
60.0;management;married;;no;yes;no;cellular;may;thu;336.0;3;3;5;success;-1.8;93.876;-40.0;0.683;5008.7;yes
49.0;blue collar;married;basic.9y;unknown;no;no;telephone;jun;thu;1149.0;2;999;0;;1.4;94.465;-41.8;4.866;5228.1;yes
40.0;admin.;single;high.school;no;yes;no;telephone;may;wed;738.0;3;999;0;;;;;4.858;5191.0;no
30.0;admin.;married;university.degree;no;yes;no;cellular;apr;thu;475.0;2;999;0;;-1.8;93.075;-47.1;1.365;5099.1;yes
;admin.;married;university.degree;no;yes;no;cellular;jul;wed;570.0;2;999;0;;1.4;93.918;-42.7;4.962;5228.1;yes
52.0;admin.;divorced;university.degree;no;yes;no;cellular;jul;mon;867.0;2;999;0;;1.4;93.918;-42.7;4.962;5228.1;yes
42.0;technician;married;professional.course;no;yes;no;cellular;aug;tue;607.0;3;999;0;;1.4;93.444;-36.1;4.968;5228.1;yes
35.0;technician;married;university.degree;unknown;no;no;telephone;may;wed;266.0;2;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
45.0;admin.;married;university.degree;unknown;no;no;telephone;may;tue;209.0;1;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
29.0;self-employed;married;university.degree;no;yes;no;cellular;mar;wed;95.0;4;999;0;;-1.8;92.843;-50.0;1.663;5099.1;yes
43.0;technician;married;high.school;no;yes;no;telephone;jun;fri;17.0;37;999;0;;1.4;94.465;-41.8;4.959;5228.1;no
55.0;management;married;university.degree;no;yes;yes;telephone;may;mon;411.0;3;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
62.0;management;divorced;high.school;no;no;no;cellular;aug;mon;405.0;1;999;0;;;;;0.861;5076.2;yes
31.0;technician;single;university.degree;no;no;no;cellular;may;mon;629.0;1;999;1;failure;-1.8;92.893;-46.2;1.299;5099.1;yes
39.0;blue collar;divorced;basic.9y;unknown;no;no;cellular;may;thu;46.0;1;999;0;;-1.8;92.893;-46.2;1.266;5099.1;no
35.0;technician;married;high.school;unknown;yes;no;cellular;jul;tue;740.0;1;999;0;;1.4;93.918;-42.7;4.962;5228.1;yes
31.0;blue collar;single;basic.9y;no;yes;no;cellular;jul;tue;442.0;1;999;0;;1.4;93.918;-42.7;4.961;5228.1;no
35.0;technician;married;university.degree;no;yes;no;cellular;aug;wed;455.0;1;999;0;;1.4;93.444;-36.1;4.965;5228.1;yes
;self-employed;married;university.degree;no;no;no;cellular;apr;tue;110.0;2;999;0;;-1.8;93.075;-47.1;1.405;5099.1;yes
60.0;technician;divorced;professional.course;unknown;no;no;telephone;may;wed;390.0;1;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
33.0;services;married;high.school;unknown;yes;no;telephone;jun;tue;1345.0;3;999;0;;1.4;94.465;-41.8;4.961;5228.1;yes
19.0;student;single;basic.4y;no;yes;no;cellular;sep;wed;396.0;2;6;3;success;-1.1;94.199;-37.5;0.876;4963.6;yes
27.0;blue collar;single;university.degree;no;yes;no;cellular;apr;thu;246.0;2;999;0;;-1.8;93.075;-47.1;1.365;5099.1;yes
48.0;services;single;basic.4y;unknown;yes;yes;cellular;may;thu;106.0;2;999;0;;-1.8;92.893;-46.2;1.266;5099.1;no
32.0;services;single;professional.course;no;yes;yes;telephone;may;fri;249.0;1;999;0;;;;;4.857;5191.0;no
51.0;blue collar;divorced;;unknown;no;no;telephone;jun;wed;15.0;1;999;0;;1.4;94.465;-41.8;4.962;5228.1;no
54.0;admin.;divorced;university.degree;no;no;no;cellular;dec;wed;288.0;7;6;2;success;-3.0;92.713;-33.0;0.715;5023.5;yes
24.0;;single;university.degree;no;no;no;cellular;jun;tue;263.0;1;999;1;failure;-2.9;92.963;-40.8;1.262;5076.2;yes
52.0;blue collar;married;basic.4y;unknown;yes;no;cellular;jul;fri;2015.0;1;999;0;;1.4;93.918;-42.7;4.962;5228.1;yes
44.0;management;single;university.degree;unknown;no;no;cellular;nov;fri;534.0;2;999;0;;-0.1;93.2;-42.0;4.021;5195.8;yes
59.0;management;married;university.degree;no;no;no;telephone;may;mon;460.0;5;999;0;;1.1;93.994;-36.4;4.857;5191.0;yes
31.0;housemaid;married;basic.6y;no;no;no;cellular;aug;thu;136.0;1;999;0;;1.4;93.444;-36.1;4.964;5228.1;no
51.0;technician;married;professional.course;no;yes;no;cellular;apr;thu;341.0;1;999;0;;-1.8;93.075;-47.1;1.365;5099.1;yes
29.0;admin.;married;basic.9y;no;yes;no;telephone;nov;fri;453.0;1;999;0;;-0.1;93.2;-42.0;4.474;5195.8;yes
20.0;student;single;;no;no;no;cellular;may;tue;202.0;2;12;1;success;-1.8;93.876;-40.0;0.697;5008.7;yes
28.0;student;single;;no;no;no;cellular;aug;thu;700.0;4;999;1;failure;-2.9;92.201;-31.4;0.829;5076.2;yes
33.0;admin.;single;university.degree;no;no;no;cellular;mar;mon;427.0;1;6;2;success;-1.8;93.369;-34.8;0.646;5008.7;yes
29.0;admin.;single;university.degree;no;no;no;cellular;nov;thu;134.0;2;9;2;failure;-3.4;92.649;-30.1;0.714;5017.5;yes
40.0;blue collar;married;basic.9y;no;no;yes;telephone;jul;tue;1135.0;2;999;0;;1.4;93.918;-42.7;4.955;5228.1;yes
32.0;admin.;single;university.degree;no;unknown;unknown;cellular;jul;mon;209.0;2;999;0;;1.4;93.918;-42.7;4.962;5228.1;no
29.0;admin.;single;high.school;no;no;no;cellular;aug;fri;130.0;1;999;0;;-2.9;92.201;-31.4;0.881;5076.2;yes
71.0;housemaid;married;basic.4y;no;yes;no;cellular;nov;tue;193.0;2;999;0;;-3.4;92.649;-30.1;0.715;5017.5;yes
48.0;blue collar;married;basic.9y;unknown;yes;no;cellular;jul;thu;122.0;1;999;0;;1.4;93.918;-42.7;4.963;5228.1;no
28.0;admin.;single;high.school;no;no;no;cellular;jun;wed;198.0;1;999;0;;-2.9;92.963;-40.8;1.26;5076.2;yes
33.0;blue collar;single;high.school;no;yes;no;cellular;may;fri;435.0;2;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1;no
31.0;technician;single;high.school;no;yes;yes;cellular;aug;wed;79.0;3;999;0;;1.4;93.444;-36.1;4.964;5228.1;no
30.0;admin.;married;university.degree;no;yes;no;telephone;may;fri;238.0;3;999;0;;1.1;93.994;-36.4;4.864;5191.0;no
29.0;admin.;married;;no;unknown;unknown;telephone;jun;fri;83.0;3;999;0;;1.4;94.465;-41.8;4.959;5228.1;no
45.0;blue collar;married;basic.4y;no;unknown;unknown;cellular;may;thu;67.0;3;999;0;;-1.8;92.893;-46.2;1.327;5099.1;no
51.0;management;married;university.degree;no;no;no;cellular;aug;thu;644.0;2;999;0;;1.4;93.444;-36.1;4.963;5228.1;yes
56.0;management;divorced;university.degree;no;no;no;telephone;jun;mon;252.0;4;999;0;;1.4;94.465;-41.8;4.865;5228.1;no
40.0;management;married;university.degree;no;yes;no;cellular;may;tue;459.0;1;999;0;;-1.8;92.893;-46.2;1.344;5099.1;no
30.0;admin.;single;high.school;no;yes;no;telephone;jun;tue;229.0;2;999;0;;1.4;94.465;-41.8;4.864;5228.1;no
28.0;unemployed;married;high.school;unknown;no;no;cellular;may;tue;216.0;1;999;1;failure;-1.8;92.893;-46.2;1.291;5099.1;no
31.0;admin.;single;university.degree;no;yes;no;cellular;aug;fri;118.0;2;999;0;;-2.9;92.201;-31.4;0.825;5076.2;no
28.0;management;single;university.degree;no;yes;no;cellular;jun;thu;1161.0;1;4;1;success;-2.9;92.963;-40.8;1.26;5076.2;yes
31.0;technician;married;university.degree;no;no;no;cellular;aug;thu;56.0;2;999;0;;1.4;93.444;-36.1;4.964;5228.1;no
65.0;retired;single;university.degree;no;no;no;cellular;nov;thu;253.0;1;999;2;failure;-3.4;92.649;-30.1;0.714;5017.5;yes
36.0;blue collar;single;basic.9y;no;yes;yes;telephone;jun;thu;762.0;3;999;0;;1.4;94.465;-41.8;4.955;5228.1;yes
53.0;technician;married;professional.course;no;yes;no;cellular;apr;thu;301.0;1;999;0;;-1.8;93.075;-47.1;1.365;5099.1;yes
30.0;admin.;married;high.school;no;yes;no;telephone;jun;tue;615.0;1;999;0;;1.4;94.465;-41.8;4.864;5228.1;no
34.0;technician;single;professional.course;no;yes;no;cellular;may;mon;601.0;2;999;1;failure;-1.8;92.893;-46.2;1.264;5099.1;yes
35.0;blue collar;single;basic.9y;no;yes;no;cellular;may;fri;676.0;3;999;0;;-1.8;92.893;-46.2;1.25;5099.1;yes
39.0;housemaid;married;basic.4y;no;no;no;cellular;oct;fri;282.0;1;999;0;;-1.1;94.601;-49.5;0.972;4963.6;no
59.0;admin.;married;;no;yes;yes;cellular;sep;mon;281.0;3;3;1;success;-3.4;92.379;-29.8;0.797;5017.5;yes
29.0;blue collar;married;basic.6y;no;no;no;cellular;may;thu;102.0;1;999;0;;-1.8;92.893;-46.2;1.327;5099.1;no
35.0;admin.;married;high.school;unknown;yes;no;cellular;jul;fri;794.0;1;999;0;;1.4;93.918;-42.7;4.963;5228.1;yes
28.0;management;single;university.degree;no;no;no;telephone;jun;thu;651.0;5;999;0;;1.4;94.465;-41.8;4.958;5228.1;yes
43.0;admin.;married;basic.9y;no;no;no;cellular;jul;fri;72.0;3;999;0;;1.4;93.918;-42.7;4.962;5228.1;no
29.0;admin.;single;university.degree;no;yes;no;cellular;aug;wed;875.0;2;999;0;;1.4;93.444;-36.1;4.964;5228.1;yes
37.0;retired;divorced;basic.9y;unknown;yes;no;cellular;nov;tue;201.0;1;999;1;failure;-0.1;93.2;-42.0;4.153;5195.8;no
30.0;technician;single;university.degree;no;yes;no;telephone;apr;wed;169.0;8;999;0;;-1.8;93.075;-47.1;1.372;5099.1;no
48.0;technician;married;professional.course;no;yes;yes;cellular;apr;thu;269.0;1;999;1;failure;-1.8;93.075;-47.1;1.365;5099.1;yes
36.0;blue collar;married;basic.4y;unknown;yes;no;cellular;may;mon;1027.0;2;999;0;;-1.8;92.893;-46.2;1.244;5099.1;yes
30.0;admin.;married;university.degree;no;yes;no;cellular;nov;thu;857.0;3;999;0;;-0.1;93.2;-42.0;4.076;5195.8;yes
26.0;management;single;university.degree;no;no;no;cellular;may;thu;715.0;1;999;0;;-1.8;92.893;-46.2;1.266;5099.1;yes
31.0;student;single;high.school;no;yes;no;cellular;oct;fri;716.0;3;999;0;;-1.1;94.601;-49.5;1.029;4963.6;yes
34.0;self-employed;single;university.degree;no;yes;no;cellular;may;mon;102.0;3;999;0;;-1.8;92.893;-46.2;1.299;5099.1;no
33.0;admin.;single;university.degree;no;no;no;cellular;aug;wed;338.0;1;999;0;;-2.9;92.201;-31.4;0.854;5076.2;yes
29.0;admin.;single;university.degree;no;yes;yes;cellular;jun;thu;449.0;1;999;0;;-2.9;92.963;-40.8;1.26;5076.2;yes
33.0;admin.;single;high.school;no;no;no;cellular;apr;fri;405.0;2;999;0;;-1.8;93.075;-47.1;1.405;5099.1;no
59.0;admin.;married;high.school;no;yes;no;cellular;aug;wed;277.0;1;999;0;;-2.9;92.201;-31.4;0.884;5076.2;yes
42.0;admin.;married;;no;no;no;cellular;apr;fri;952.0;1;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1;yes
28.0;blue collar;single;basic.9y;no;yes;yes;cellular;may;tue;637.0;3;999;0;;-1.8;92.893;-46.2;1.291;5099.1;yes
33.0;blue collar;married;basic.6y;no;yes;yes;cellular;may;wed;686.0;2;999;0;;-1.8;92.893;-46.2;1.334;5099.1;yes
;services;married;basic.9y;no;yes;no;cellular;dec;wed;314.0;1;6;1;success;-3.0;92.713;-33.0;0.715;5023.5;yes
30.0;admin.;married;university.degree;no;no;no;cellular;apr;wed;1038.0;2;999;0;;-1.8;93.075;-47.1;1.415;5099.1;yes
54.0;technician;married;university.degree;no;yes;no;cellular;aug;fri;325.0;1;4;1;success;-2.9;92.201;-31.4;0.881;5076.2;no
47.0;admin.;divorced;high.school;no;yes;no;telephone;jun;mon;302.0;1;999;0;;-1.7;94.055;-39.8;0.711;4991.6;yes
43.0;admin.;married;high.school;no;yes;no;cellular;jul;mon;118.0;1;999;0;;1.4;93.918;-42.7;4.96;5228.1;no
34.0;blue collar;single;basic.9y;unknown;no;yes;telephone;may;thu;110.0;1;999;0;;1.1;93.994;-36.4;4.86;5191.0;no
37.0;admin.;married;university.degree;no;no;no;telephone;jun;tue;192.0;4;999;0;;1.4;94.465;-41.8;4.864;5228.1;no
34.0;admin.;single;university.degree;no;yes;yes;cellular;mar;tue;295.0;1;999;0;;-1.8;93.369;-34.8;0.652;5008.7;yes
56.0;self-employed;married;basic.9y;no;yes;no;telephone;aug;wed;41.0;7;999;0;;1.4;93.444;-36.1;4.964;5228.1;no
39.0;admin.;married;professional.course;no;yes;no;telephone;may;mon;580.0;2;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
30.0;blue collar;single;basic.4y;unknown;yes;yes;telephone;may;thu;331.0;4;999;0;;1.1;93.994;-36.4;4.86;5191.0;no
27.0;technician;single;university.degree;no;yes;no;cellular;sep;thu;404.0;1;6;1;success;-1.1;94.199;-37.5;0.879;4963.6;yes
56.0;retired;divorced;university.degree;no;yes;no;cellular;nov;tue;972.0;2;999;0;;-0.1;93.2;-42.0;4.153;5195.8;no
32.0;services;single;high.school;no;no;no;cellular;may;wed;248.0;2;999;0;;-1.8;92.893;-46.2;1.281;5099.1;no
28.0;services;married;basic.9y;no;yes;no;telephone;oct;fri;186.0;1;999;1;failure;-3.4;92.431;-26.9;0.739;5017.5;yes
29.0;admin.;single;high.school;no;unknown;unknown;cellular;jul;wed;183.0;1;999;0;;1.4;93.918;-42.7;4.962;5228.1;no
47.0;management;married;university.degree;no;no;no;telephone;may;wed;550.0;3;999;0;;1.1;93.994;-36.4;4.856;5191.0;no
40.0;admin.;single;basic.9y;no;yes;no;cellular;may;thu;234.0;1;3;3;success;-1.8;93.876;-40.0;0.683;5008.7;yes
36.0;self-employed;divorced;basic.4y;no;no;no;telephone;jun;fri;79.0;1;999;0;;1.4;94.465;-41.8;4.959;5228.1;no
27.0;student;single;;unknown;yes;no;cellular;apr;thu;35.0;1;999;0;;-1.8;93.075;-47.1;1.365;5099.1;no
69.0;retired;married;basic.4y;no;yes;no;cellular;oct;thu;124.0;1;999;0;;-3.4;92.431;-26.9;0.722;5017.5;yes
39.0;technician;single;university.degree;no;yes;no;cellular;may;mon;612.0;1;999;0;;-1.8;92.893;-46.2;1.244;5099.1;yes
22.0;student;single;high.school;no;no;no;cellular;sep;wed;369.0;3;5;1;success;-1.1;94.199;-37.5;0.886;4963.6;yes
40.0;technician;married;basic.9y;no;no;no;telephone;may;mon;168.0;1;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
25.0;technician;married;professional.course;no;yes;no;cellular;jun;tue;551.0;4;999;1;failure;-2.9;92.963;-40.8;1.252;5076.2;yes
38.0;blue collar;divorced;basic.9y;no;no;no;cellular;jul;fri;764.0;2;999;0;;1.4;93.918;-42.7;4.963;5228.1;yes
40.0;technician;married;professional.course;no;yes;no;cellular;apr;tue;366.0;1;999;0;;-1.8;93.075;-47.1;1.453;5099.1;no
37.0;technician;divorced;high.school;no;no;no;cellular;nov;fri;635.0;1;999;1;failure;-0.1;93.2;-42.0;4.021;5195.8;yes
44.0;technician;married;professional.course;no;no;no;cellular;may;mon;132.0;3;999;0;;-1.8;92.893;-46.2;1.299;5099.1;no
57.0;retired;married;basic.4y;no;yes;yes;telephone;apr;tue;1348.0;4;999;0;;-1.8;93.075;-47.1;1.405;5099.1;yes
34.0;entrepreneur;single;university.degree;no;yes;no;cellular;may;tue;168.0;2;999;0;;-1.8;92.893;-46.2;1.344;5099.1;no
24.0;student;single;high.school;no;yes;no;cellular;may;tue;153.0;2;6;2;success;-1.8;93.876;-40.0;0.668;5008.7;yes
41.0;admin.;married;high.school;no;no;no;telephone;may;fri;356.0;2;999;0;;1.1;93.994;-36.4;4.859;5191.0;no
39.0;technician;single;professional.course;no;yes;no;cellular;nov;tue;58.0;1;999;0;;-0.1;93.2;-42.0;4.153;5195.8;no
31.0;management;married;university.degree;no;yes;no;cellular;jun;tue;305.0;1;999;0;;-2.9;92.963;-40.8;1.262;5076.2;yes
26.0;student;single;;unknown;no;no;telephone;may;fri;277.0;5;999;0;;1.1;93.994;-36.4;4.859;5191.0;no
27.0;student;single;university.degree;no;no;yes;cellular;nov;mon;118.0;1;999;0;;-3.4;92.649;-30.1;0.715;5017.5;yes
42.0;management;married;university.degree;no;no;no;telephone;may;tue;1677.0;1;999;0;;1.1;93.994;-36.4;4.857;5191.0;yes
31.0;management;married;university.degree;no;no;no;telephone;jun;fri;614.0;2;999;0;;-2.9;92.963;-40.8;1.268;5076.2;no
47.0;blue collar;married;high.school;unknown;yes;no;telephone;jun;mon;224.0;3;999;0;;1.4;94.465;-41.8;4.961;5228.1;no
53.0;blue collar;married;basic.4y;unknown;yes;no;cellular;apr;mon;583.0;2;999;1;failure;-1.8;93.075;-47.1;1.466;5099.1;yes
51.0;technician;married;professional.course;unknown;no;no;cellular;nov;fri;281.0;2;999;1;failure;-0.1;93.2;-42.0;4.021;5195.8;no
39.0;technician;married;university.degree;no;yes;yes;cellular;jul;wed;63.0;2;999;0;;1.4;93.918;-42.7;4.963;5228.1;no
59.0;technician;single;university.degree;unknown;yes;no;cellular;aug;thu;95.0;1;999;0;;1.4;93.444;-36.1;4.964;5228.1;no
47.0;self-employed;married;professional.course;no;yes;no;telephone;jun;mon;338.0;2;999;0;;1.4;94.465;-41.8;4.865;5228.1;no
46.0;services;married;high.school;no;no;no;cellular;apr;mon;53.0;1;999;1;failure;-1.8;93.075;-47.1;1.405;5099.1;no
52.0;retired;married;basic.6y;no;no;no;cellular;jul;tue;203.0;1;999;0;;1.4;93.918;-42.7;4.962;5228.1;no
25.0;technician;single;professional.course;no;yes;no;telephone;jun;mon;97.0;1;999;0;;1.4;94.465;-41.8;4.961;5228.1;no
51.0;blue collar;single;illiterate;unknown;yes;no;cellular;may;fri;259.0;3;999;0;;-1.8;92.893;-46.2;1.25;5099.1;no
35.0;unemployed;married;professional.course;no;yes;no;cellular;apr;thu;79.0;1;999;0;;-1.8;93.075;-47.1;1.41;5099.1;no
68.0;retired;married;basic.4y;no;yes;yes;cellular;may;fri;220.0;1;6;1;success;-1.8;93.876;-40.0;0.684;5008.7;yes
25.0;services;married;high.school;no;no;no;cellular;jul;tue;329.0;4;999;0;;1.4;93.918;-42.7;4.962;5228.1;no
60.0;retired;married;professional.course;no;no;no;telephone;sep;fri;618.0;1;999;1;failure;-1.1;94.199;-37.5;0.879;4963.6;no
32.0;services;divorced;basic.9y;unknown;no;no;cellular;jul;wed;68.0;2;999;0;;1.4;93.918;-42.7;4.963;5228.1;no
21.0;student;single;basic.9y;no;no;no;cellular;mar;wed;363.0;1;6;1;success;-1.8;93.369;-34.8;0.655;5008.7;yes
38.0;blue collar;married;basic.6y;no;yes;no;cellular;may;thu;15.0;9;999;0;;-1.8;92.893;-46.2;1.266;5099.1;no
38.0;services;married;high.school;unknown;no;no;cellular;may;mon;323.0;1;999;0;;-1.8;92.893;-46.2;1.299;5099.1;no
44.0;technician;married;university.degree;no;yes;no;telephone;jun;wed;712.0;1;6;3;failure;-1.7;94.055;-39.8;0.715;4991.6;yes
33.0;admin.;married;university.degree;no;yes;no;telephone;nov;wed;241.0;1;3;1;success;-3.4;92.649;-30.1;0.715;5017.5;yes
35.0;admin.;married;high.school;no;yes;no;cellular;may;tue;12.0;6;999;1;failure;-1.8;92.893;-46.2;1.291;5099.1;no
54.0;retired;divorced;university.degree;no;yes;no;cellular;may;fri;778.0;5;999;1;failure;-1.8;92.893;-46.2;1.25;5099.1;no
48.0;management;divorced;university.degree;no;yes;no;cellular;nov;wed;208.0;1;3;1;success;-3.4;92.649;-30.1;0.716;5017.5;yes
30.0;blue collar;married;basic.9y;no;no;no;cellular;jul;tue;623.0;2;999;0;;;;;4.962;5228.1;yes
34.0;technician;single;university.degree;no;yes;no;cellular;jul;thu;124.0;1;999;0;;1.4;93.918;-42.7;4.963;5228.1;no
46.0;housemaid;married;basic.4y;unknown;no;no;cellular;jul;fri;1649.0;2;999;0;;1.4;93.918;-42.7;4.963;5228.1;yes
37.0;admin.;married;university.degree;no;yes;no;cellular;sep;wed;729.0;1;999;1;failure;-1.1;94.199;-37.5;0.886;4963.6;yes
31.0;technician;married;professional.course;no;yes;no;telephone;jun;wed;131.0;2;999;0;;;;;4.864;5228.1;no
31.0;technician;married;basic.9y;no;no;yes;cellular;jul;thu;1319.0;5;999;0;;1.4;93.918;-42.7;4.958;5228.1;yes
50.0;blue collar;married;basic.4y;unknown;yes;yes;telephone;jun;fri;160.0;3;999;0;;1.4;94.465;-41.8;4.959;5228.1;no
42.0;retired;married;basic.4y;no;no;no;telephone;may;tue;145.0;1;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
37.0;self-employed;single;university.degree;unknown;yes;no;telephone;may;thu;512.0;5;999;0;;1.1;93.994;-36.4;4.86;5191.0;no
48.0;blue collar;married;basic.4y;no;no;no;telephone;may;tue;128.0;1;999;0;;1.1;93.994;-36.4;4.857;5191.0;no
20.0;student;single;high.school;no;yes;no;cellular;apr;thu;615.0;1;999;0;;-1.8;93.075;-47.1;1.365;5099.1;yes
55.0;unemployed;divorced;university.degree;no;no;no;cellular;mar;tue;212.0;3;6;3;success;-1.8;93.369;-34.8;0.652;5008.7;yes
29.0;admin.;single;high.school;no;no;no;cellular;jul;fri;446.0;1;999;0;;-2.9;92.469;-33.6;1.059;5076.2;yes
51.0;self-employed;married;university.degree;unknown;no;no;cellular;nov;fri;46.0;4;999;1;failure;-0.1;93.2;-42.0;4.021;5195.8;no
49.0;services;married;high.school;unknown;yes;no;cellular;jul;wed;122.0;1;999;0;;1.4;93.918;-42.7;4.957;5228.1;no
32.0;technician;single;professional.course;no;no;no;cellular;jul;tue;769.0;4;999;0;;1.4;93.918;-42.7;4.961;5228.1;yes
47.0;services;married;basic.9y;no;yes;no;cellular;apr;thu;561.0;3;999;0;;-1.8;93.075;-47.1;1.41;5099.1;no
30.0;student;single;high.school;no;no;no;cellular;aug;tue;592.0;3;999;1;failure;-1.7;94.027;-38.3;0.899;4991.6;yes
36.0;services;married;high.school;no;unknown;unknown;telephone;may;thu;262.0;4;999;0;;1.1;93.994;-36.4;4.86;5191.0;no
31.0;admin.;single;university.degree;no;yes;no;cellular;aug;wed;77.0;3;999;0;;1.4;93.444;-36.1;4.964;5228.1;no
39.0;technician;married;professional.course;no;no;no;telephone;oct;thu;171.0;1;999;0;;-0.1;93.798;-40.4;4.921;5195.8;yes
28.0;admin.;single;university.degree;no;yes;no;cellular;jun;wed;593.0;1;999;0;;-2.9;92.963;-40.8;1.26;5076.2;yes
44.0;blue collar;married;basic.4y;unknown;no;no;cellular;aug;mon;363.0;5;999;0;;1.4;93.444;-36.1;4.965;5228.1;yes
45.0;technician;married;professional.course;unknown;no;no;cellular;aug;tue;122.0;1;999;0;;1.4;93.444;-36.1;4.968;5228.1;no
38.0;technician;married;basic.6y;unknown;no;no;telephone;may;fri;785.0;1;999;0;;1.1;93.994;-36.4;4.857;5191.0;yes
24.0;technician;single;basic.6y;no;yes;no;telephone;jul;thu;1448.0;7;999;0;;1.4;93.918;-42.7;4.958;5228.1;yes
39.0;services;divorced;basic.9y;no;yes;no;telephone;jun;fri;524.0;4;999;0;;1.4;94.465;-41.8;4.959;5228.1;no
52.0;blue collar;married;basic.4y;no;no;no;cellular;aug;mon;209.0;2;999;0;;1.4;93.444;-36.1;4.965;5228.1;no
40.0;services;married;high.school;unknown;no;no;cellular;may;thu;388.0;2;999;1;failure;-1.8;92.893;-46.2;1.327;5099.1;no
20.0;student;single;basic.4y;no;yes;no;cellular;aug;wed;267.0;1;999;0;;-2.9;92.201;-31.4;0.879;5076.2;yes
41.0;blue collar;married;basic.9y;no;yes;no;cellular;may;mon;295.0;1;999;0;;-1.8;92.893;-46.2;1.244;5099.1;no
44.0;blue collar;married;basic.9y;no;yes;no;telephone;apr;thu;455.0;2;999;0;;-1.8;93.075;-47.1;1.365;5099.1;no
33.0;admin.;single;high.school;no;no;no;cellular;apr;thu;380.0;3;999;0;;-1.8;93.075;-47.1;1.365;5099.1;yes
37.0;admin.;single;university.degree;no;yes;no;cellular;oct;thu;447.0;3;999;0;;-3.4;92.431;-26.9;0.754;5017.5;yes
47.0;admin.;single;university.degree;no;yes;no;cellular;jun;mon;243.0;4;999;0;;-2.9;92.963;-40.8;1.281;5076.2;yes
20.0;services;single;high.school;no;no;no;telephone;jul;tue;97.0;15;999;0;;1.4;93.918;-42.7;4.961;5228.1;no
36.0;unemployed;married;high.school;no;no;no;telephone;oct;thu;130.0;2;999;0;;-3.4;92.431;-26.9;0.74;5017.5;no
31.0;unemployed;single;professional.course;no;yes;no;cellular;nov;thu;70.0;1;999;0;;-0.1;93.2;-42.0;4.076;5195.8;no
40.0;blue collar;married;basic.6y;unknown;yes;no;telephone;may;mon;153.0;1;999;0;;1.1;93.994;-36.4;4.858;5191.0;no
27.0;self-employed;single;university.degree;no;no;no;telephone;jun;fri;911.0;1;999;0;;;;;4.947;5228.1;yes
35.0;technician;married;professional.course;no;yes;no;cellular;aug;mon;132.0;4;999;0;;1.4;93.444;-36.1;4.965;5228.1;no
